Name,Count_Ctrl,Count_PE,Mean_Ctrl,Mean_PE,P_value_T_PD_vs_Ctrl,Fold_change_PD_vs_Ctrl,Flag_PD_vs_Ctrl
PE(P-18:0/22:6),93,46,21.882,21.94096609,0.660896672,0.065386584,0
PE(P-18:1/22:6),93,46,20.383,20.49363161,0.286856699,0.121126796,0
PE(P-20:0/18:1),93,46,17.725,17.77362136,0.738109601,0.045107719,0
PE(P-20:0/18:2),93,46,18.962,18.76297408,0.046641472,-0.203612308,-1
PE(P-20:0/20:4),93,46,20.005,20.02246935,0.958599377,0.020990188,0
PE(P-20:0/22:6),93,46,18.479,18.49012962,0.988655637,0.012587958,0
PG(16:0/18:1),93,46,16.751,16.46864545,0.002048279,-0.283265371,-1
PI(16:0/16:0),93,46,17.688,17.25020856,0.002360407,-0.441575478,-1
PI(16:0/16:1),93,46,16.63,16.31079661,0.070246367,-0.326681755,0
PI(16:0/18:1),93,46,19.466,19.36098995,0.432105238,-0.109222194,0
PI(16:0/18:2),93,46,19.847,19.51253695,0.000757774,-0.334252738,-1
PI(16:0/20:3);PI(18:2/18:1),93,48,17.809,17.39823221,0.000435387,-0.410338885,-1
PI(16:0/20:4),93,46,19.013,18.68092379,0.000903638,-0.334269077,-1
PI(16:0/22:6),93,48,16.238,15.98648604,0.059460277,-0.251123272,0
PI(17:0/18:2),93,46,15.715,15.3669906,0.002788777,-0.345520482,-1
PI(17:0/20:4),93,46,15.681,15.44363104,0.052245696,-0.24345572,0
PI(18:0/18:1),93,46,19.769,19.78551425,0.992794929,0.011250468,0
PI(18:0/18:2),93,48,21.575,21.41306059,0.086028003,-0.159233048,0
PI(18:0/20:3),93,46,20.046,19.98428018,0.741482735,-0.064396885,0
PI(18:0/20:4),93,48,21.921,21.87857584,0.787280118,-0.043531339,0
PI(18:0/22:6),93,46,18.342,18.34165903,0.999160473,0.003538635,0
PI(18:1/18:2),93,48,17.586,17.13685437,0.000361986,-0.445755612,-1
PI(18:1/20:4),93,46,17.001,16.69919099,0.003585273,-0.299286822,-1
PI(20:4/18:1),93,46,17.073,16.62187023,0.000535898,-0.451922259,-1
PS(18:0/20:4),93,48,16.616,16.76773166,0.481662493,0.159228249,0
