Name,Count_Ctrl,Count_PE,Mean_Ctrl,Mean_PE,P_value_T_PD_vs_Ctrl,Fold_change_PD_vs_Ctrl,Flag_PD_vs_Ctrl
PC(22:5/16:0),93,48,22.545,22.517,0.844,-0.044,0
PC(22:5/18:0),93,48,21.522,21.53,0.988,-0.013,0
PC(22:6/0:0),93,48,17.043,17.68,0.000467314,0.629,1
PC(22:6/P-18:0),93,48,17.771,17.838,0.773,0.066,0
PC(O-16:0/18:1),93,48,20.932,20.903,0.654,-0.044,0
PC(O-16:0/18:2),93,48,21.126,20.782,2.22E-05,-0.348,-1
PC(O-16:0/20:3),93,48,19.342,19.197,0.065,-0.16,0
PC(O-16:0/20:4),93,48,22.27,22.18,0.134,-0.097,0
PC(O-16:0/22:4),93,48,20.032,19.843,0.002,-0.201,-1
PC(O-16:0/22:6),93,48,19.169,19.234,0.784,0.053,0
PC(O-18:0/16:0),93,48,17.889,17.895,0.974,-0.014,0
PC(O-18:0/18:1),93,48,17.844,17.841,0.964,-0.016,0
PC(O-18:0/22:6),93,48,18.761,18.754,0.966,-0.021,0
PC(O-18:1/18:2),93,48,19.652,19.453,0.024,-0.204,-1
PC(O-18:1/20:4);PC(O-16:0/22:5),93,48,22.043,21.997,0.576,-0.053,0
PC(O-20:0/20:4),93,48,19.192,19.091,0.274,-0.107,0
PC(P-16:0/16:0),93,48,19.673,19.636,0.704,-0.043,0
PC(P-18:0/22:6),93,48,18.907,18.988,0.694,0.069,0
PE(16:0/0:0),93,48,17.056,17.038,0.953,-0.031,0
PE(16:0/18:1),93,48,19.989,20.066,0.559,0.072,0
PE(16:0/18:2),93,48,21.572,21.403,0.045,-0.175,-1
PE(16:0/18:3),93,48,16.644,16.3,0.002,-0.349,-1
PE(16:0/20:4),93,48,21.244,21.174,0.363,-0.078,0
PE(16:0/22:6),93,48,20.983,20.961,0.879,-0.03,0
PE(18:0/0:0),93,48,17.195,17.195,0.992,-0.013,0
PE(18:0/18:1),93,48,20.229,20.266,0.733,0.041,0
PE(18:0/18:2),93,48,22.442,22.332,0.128,-0.115,0
PE(18:0/20:4),93,48,22.481,22.549,0.376,0.062,0
PE(18:0/22:6),93,48,20.557,20.718,0.078,0.158,0
PE(18:1/0:0),93,48,16.684,16.715,0.96,0.024,0
PE(18:1/18:2),93,48,20.049,19.725,0.003,-0.319,-1
PE(18:1/20:4),93,48,19.952,19.847,0.2,-0.107,0
PE(18:2/0:0),93,48,16.737,16.469,0.059,-0.273,0
PE(P-16:0/18:2),93,48,17.801,17.593,0.111,-0.189,0
PE(P-16:0/20:4),93,48,20.027,19.997,0.951,-0.021,0
PE(P-16:0/22:6),93,48,19.698,19.845,0.075,0.144,0
PE(P-18:0/18:1),93,48,17.882,17.895,0.929,0.024,0
PE(P-18:0_18:2),93,48,19.581,19.307,0.008,-0.259,-1
PE(P-18:0/20:4),93,48,21.284,21.173,0.339,-0.103,0
PE(P-18:0/22:4),93,48,17.863,17.928,0.85,0.051,0
PE(P-18:0/22:5),93,48,17.903,17.887,0.973,-0.015,0
PE(P-18:0/22:6),93,48,19.828,19.847,0.943,0.023,0
PE(P-20:0/20:4),93,48,17.676,17.652,0.958,-0.023,0
SM(d16:1/16:0),93,48,20.892,20.902,0.999,-0.003,0
SM(d16:1/16:0);SM(d18:1/14:0),93,48,20.892,20.902,0.999,-0.003,0
SM(d16:1/20:0);SM(d18:1/18:0),93,48,22.953,23.121,0.027,0.152,1
SM(d16:1/22:0),93,48,22.797,22.833,0.869,0.023,0
