Name,HG
PE(P-16:0_22:6),PE P-
PE(P-18:0_18:1),PE P-
PE(P-18:0_18:1),PE P-
PE(P-18:0_18:2),PE P-
PE(P-18:0_18:2),PE P-
PE(P-18:0_20:3),PE P-
PE(P-18:0_20:4),PE P-
PE(P-18:0_20:4),PE P-
PE(P-18:0_22:4),PE P-
PE(P-18:0_22:4),PE P-
PE(P-18:0_22:5),PE P-
PE(P-18:0_22:6),PE P-
PE(P-18:0_22:6),PE P-
PE(P-18:1_22:6),PE P-
PE(P-20:0_18:1),PE P-
PE(P-20:0_18:2),PE P-
PE(P-20:0_20:4),PE P-
PE(P-20:0_20:4),PE P-
PE(P-20:0_22:6),PE P-
PG(16:0_18:1),PG
PI(16:0_16:0),PI
PI(16:0_16:1),PI
PI(16:0_18:1),PI
PI(16:0_18:2),PI
PI(16:0_20:3);PI(18:2_18:1),PI
PI(16:0_20:4),PI
PI(16:0_22:6),PI
PI(17:0_18:2),PI
PI(17:0_20:4),PI
PI(18:0_18:1),PI
PI(18:0_18:2),PI
PI(18:0_20:3),PI
PI(18:0_20:4),PI
PI(18:0_22:6),PI
PI(18:1_18:2),PI
PI(18:1_20:4),PI
PI(20:4_18:1),PI
PS(18:0_20:4),PS
SM(d16:1_16:0),SM
SM(d16:1_16:0);SM(d18:1_14:0),SM
SM(d16:1_20:0);SM(d18:1_18:0),SM
SM(d16:1_22:0),SM
SM(d16:1_22:0);SM(d18:1_20:0),SM
SM(d16:1_24:1);SM(d18:2_22:0);SM(d18:1_22:1),SM
SM(d17:1_24:1);SM(d18:2_23:0),SM
SM(d18:0_16:0),SM
SM(d18:0_18:0),SM
SM(d18:1_12:0),SM
SM(d18:1_15:0),SM
SM(d18:1_16:0),SM
SM(d18:1_17:0),SM
SM(d18:1_22:0),SM
SM(d18:1_23:0),SM
SM(d18:1_24:0),SM
SM(d18:1_25:0),SM
SM(d18:1_26:0),SM
SM(d18:1_26:1),SM
SM(d18:2_14:0),SM
SM(d18:2_16:0),SM
SM(d18:2_18:0);SM(d18:1_18:1),SM
SM(d18:2_18:1),SM
SM(d18:2_20:0),SM
SM(d18:2_21:0),SM
SM(d18:2_24:0);SM(d18:1_24:1),SM
SM(d18:2_24:1),SM
SM(d19:1_24:1),SM
SM(d20:1_19:0),SM
TG(10:0_12:0_16:0);TG(10:0_14:0_14:0);TG(12:0_12:0_14:0),TG
